,Name,Passes Made,Ast,Secondary Ast,Potential Ast,Drives,FGA Drives,Passes Drives,Pass% Drives,Ast Drives,Ast% Drives,Catch/Shoot FGA,Catch/Shoot 3FGA,Pull-up FGA,Pull-up 3FGA,Touches,Front Ct Touches,Time of Poss,Avg Sec/Touch,Avg Drib/Touch,Elbow Touches,Post Ups,Paint Touches,Dist. Feet,Dist. Miles Off,Dist. Miles Def,Avg Speed,Team
207,J.J. Barea,44.3,5.6,0.6,9.7,10.4,4.8,3.9,37.6,1.0,9.6,1.3,1.2,4.9,2.1,59.7,24.1,5.0,4.98,4.91,0.1,0.0,0.3,8013.7,0.88,0.64,4.25,DAL
208,J.P. Macura,9.5,1.0,0.5,2.5,1.5,0.5,1.0,66.7,0.0,0.0,2.0,2.0,0.0,0.0,14.0,10.5,0.5,2.01,1.36,0.0,0.0,0.5,3568.0,0.35,0.32,4.61,CHA
209,JJ Redick,23.8,2.7,0.4,4.5,2.3,1.0,0.9,40.5,0.1,5.8,5.6,4.7,6.1,3.1,40.8,36.2,1.1,1.68,1.0,0.9,0.0,0.8,13165.8,1.39,1.11,4.46,PHI
210,JR Smith,20.4,1.9,0.3,2.9,1.9,0.6,0.9,47.6,0.2,9.5,2.5,2.5,4.1,1.1,29.5,18.7,1.2,2.4,1.66,0.4,0.2,0.5,7695.4,0.81,0.65,4.02,CLE
211,JaKarr Sampson,40.3,1.0,0.3,1.8,9.3,4.5,2.5,27.0,0.0,0.0,3.5,3.5,2.3,0.0,58.0,30.8,2.0,2.02,1.14,1.8,0.8,2.8,12937.3,1.31,1.14,4.31,CHI
212,JaMychal Green,28.5,0.8,0.1,1.5,0.8,0.4,0.2,24.5,0.1,8.2,3.2,2.4,0.5,0.2,38.1,19.9,1.0,1.59,0.44,1.8,1.7,3.8,8529.1,0.87,0.75,4.27,LAC
213,JaVale McGee,21.4,0.7,0.1,1.3,0.6,0.4,0.0,4.4,0.0,0.0,0.5,0.2,0.4,0.0,32.7,17.5,0.7,1.31,0.34,3.5,1.4,8.0,8571.1,0.84,0.78,4.12,LAL
214,Jabari Parker,42.7,2.4,0.3,4.9,6.5,2.7,2.6,40.1,0.5,7.6,2.5,2.1,3.0,0.9,59.7,27.5,2.3,2.29,1.6,1.1,2.7,2.4,11090.0,1.15,0.95,4.32,WAS
215,Jacob Evans,8.2,0.8,0.2,1.0,0.5,0.3,0.2,33.3,0.1,20.0,0.5,0.5,0.8,0.0,10.6,6.1,0.5,2.84,2.04,0.1,0.0,0.2,2884.5,0.3,0.25,4.51,GSW
216,Jae Crowder,38.5,1.7,0.2,3.0,2.1,1.0,0.6,29.9,0.1,6.6,5.5,5.1,1.7,1.3,51.5,25.9,1.4,1.65,0.86,0.4,0.2,1.3,10612.0,1.1,0.91,4.15,UTA
